api_well_number,county_code,api_hole_number,sidetrack,completion,well_name,company_name,operator_number,well_type,map_symbol,well_status,status_date,permit_application_date,permit_issued_date,date_spudded,date_of_total_depth,date_well_completed,date_well_plugged,date_well_confidentiality_ends,confidentiality_code,town,quad,quad_section,producing_field,producing_formation,financial_security,slant,county,region,state_lease,"proposed_depth,_ft",surface_longitude,surface_latitude,bottom_hole_longitude,bottom_hole_latitude,"true_vertical_depth,_ft","measured_depth,_ft","kickoff,_ft","drilled_depth,_ft","elevation,_ft",original_well_type,permit_fee,objective_formation,depth_fee,spacing,spacing_acres,integration,hearing_date,date_last_modified,dec_database_link,location_1
31003050790000,3,5079,0,0,Lot 78 17,,9998,NL,O,UN,,11/22/1966,01/20/1967,,,,,,Pre-1989 Well (N/A),Alma,,,,,False,Vertical,Allegany,9.0,,0.0,,,,,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003050790000,
31003080390000,3,8039,0,0,Voided Permit,,9998,NL,O,UN,,,,,,,,,Pre-1989 Well (N/A),,,A,,,False,Vertical,Statewide,9.0,,0.0,,,,,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003080390000,
31003561440000,3,56144,0,0,SB-09,,9998,OD,OW,UL,,,,,,,,,Pre-1989 Well (N/A),Alma,Wellsville South,G,Ford's Brook,Richburg,False,Vertical,Allegany,9.0,,1400.0,-77.98045,42.039957,-77.98045,42.039957,1400.0,1400.0,0.0,1400.0,,OD,0.0,Richburg,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003561440000,"(42.039957, -77.98045)"
31003600340000,3,60034,0,0,Hickory U6,Hickory Oil,1076,OD,OW,UL,03/06/2018,,,,,,,,Pre-1989 Well (N/A),Genesee,Bolivar,E,Richburg,,False,Vertical,Allegany,9.0,,,-78.207341,42.067473,-78.207341,42.067473,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003600340000,"(42.067473, -78.207341)"
31003604240000,3,60424,0,0,Kansas Property 7,,9998,OD,OW,UL,,,,,,,,,Pre-1989 Well (N/A),Bolivar,Allentown,G,,,True,Vertical,Allegany,9.0,,,-78.12497,42.02704,-78.12497,42.02704,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003604240000,"(42.02704, -78.12497)"
31003605500000,3,60550,0,0,DF UN2,,9998,NL,O,UL,11/20/2019,,,,,,,,Pre-1989 Well (N/A),Bolivar,Bolivar,I,,,True,Vertical,Allegany,9.0,,,-78.12988699999998,42.041594,,,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/05/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003605500000,"(42.041594, -78.129887)"
31003608290000,3,60829,0,0,Monahan 12,Emerald Oil Company LLC,1723,OD,OW,UL,,,,,,,,,Pre-1989 Well (N/A),Wirt,Friendship,H,Richburg,Richburg,False,Vertical,Allegany,9.0,,0.0,-78.17936,42.12626,-78.17936,42.12626,1350.0,1350.0,0.0,1350.0,,NL,0.0,,0.0,,,,,05/03/2022 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003608290000,"(42.12626, -78.17936)"
31003673010000,3,67301,0,0,,,9998,NL,O,UN,,,,,,,,,Pre-1989 Well (N/A),,,,,,False,Vertical,Statewide,9.0,,0.0,,,,,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003673010000,
31003686750000,3,68675,0,0,Dearmitt 1,,9998,OD,OW,UL,,,,,,,,,Pre-1989 Well (N/A),Clarksville,Portville,C,Clarksville,Clarksville,False,Vertical,Allegany,9.0,,0.0,-78.25390799999998,42.10067,-78.25390799999998,42.10067,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003686750000,"(42.10067, -78.253908)"
31003710970000,3,71097,0,0,Schamberger J 46,,9998,NL,O,UL,,,,,,,,,Pre-1989 Well (N/A),Wirt,Bolivar,B,Richburg,,False,Vertical,Allegany,9.0,,0.0,-78.1872,42.0899,-78.1872,42.0899,0.0,0.0,0.0,0.0,,NL,0.0,,0.0,,,,,12/20/2019 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003710970000,"(42.0899, -78.1872)"
